date,R_fighter,B_fighter,Winner,weight_class,gender,no_of_rounds,R_current_win_streak,B_current_win_streak,R_longest_win_streak,B_longest_win_streak,R_current_lose_streak,B_current_lose_streak,R_wins,B_wins,R_losses,B_losses,R_total_rounds_fought,B_total_rounds_fought,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_win_by_Submission,B_win_by_Submission,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_age,B_age,R_avg_SIG_STR_landed,B_avg_SIG_STR_landed,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_landed,B_avg_TD_landed,R_avg_TD_pct,B_avg_TD_pct,R_Stance,B_Stance,R_ufc_fights,B_ufc_fights
2026-01-24,Ateba Gautier,Andrey Pulyaev,Red,Middleweight,MALE,3,4,1,4,1,0,0,4,2,0,1,5,8,0,0,4,1,0,0,193.04,193.04,205.74,198.12,23,28,4.44,3.84,0.48,0.56,0.0,0.0,0.49,0.29,1.0,0.16,Switch,Southpaw,4,3
2026-01-24,Nikita Krylov,Modestas Bukauskas,Red,Light Heavyweight,MALE,3,0,4,5,4,2,0,11,7,9,4,34,23,0,0,4,3,5,1,190.5,190.5,195.58,193.04,33,31,4.36,3.24,0.54,0.42,1.2,0.1,2.05,0.26,0.37,0.66,Orthodox,Switch,20,11
2025-12-13,Giga Chikadze,Kevin Vallejos,Blue,Featherweight,MALE,3,0,3,7,3,2,0,8,3,4,1,34,8,0,0,3,2,0,0,182.88,170.18,187.96,172.72,37,24,3.75,6.12,0.42,0.48,0.2,0.0,0.18,0.66,0.33,0.28,Orthodox,Switch,12,4
2025-12-13,Melquizael Costa,Morgan Charriere,Red,Featherweight,MALE,3,4,1,4,1,0,0,5,3,2,2,17,12,0,0,0,3,2,0,177.8,172.72,180.34,175.26,29,30,4.38,4.02,0.49,0.5,1.1,0.3,2.0,2.06,0.4,0.46,Southpaw,Orthodox,7,5
2025-12-06,Merab Dvalishvili,Petr Yan,Blue,Bantamweight,MALE,5,14,3,14,7,0,0,14,11,2,4,55,53,4,4,1,4,1,0,167.64,170.18,172.72,170.18,34,32,4.42,5.16,0.41,0.54,0.3,0.1,5.97,1.7,0.35,0.49,Orthodox,Switch,16,15
2025-12-06,Henry Cejudo,Payton Talbott,Blue,Bantamweight,MALE,3,0,1,6,4,3,0,10,5,5,1,43,15,6,0,4,2,0,1,162.56,177.8,162.56,177.8,38,27,3.83,6.62,0.47,0.56,0.1,0.2,1.78,0.78,0.29,0.44,Orthodox,Switch,15,6
2025-12-06,Jan Blachowicz,Bogdan Guskov,Draw,Light Heavyweight,MALE,3,0,4,5,4,2,0,12,4,8,1,60,7,4,0,5,3,2,1,187.96,190.5,198.12,193.04,42,33,3.55,4.57,0.5,0.55,0.4,0.7,0.98,0.0,0.48,0.0,Orthodox,Orthodox,20,5
2025-12-06,Grant Dawson,Manuel Torres,Blue,Lightweight,MALE,3,3,1,6,4,0,0,12,5,1,1,36,6,0,0,2,4,5,1,177.8,177.8,182.88,185.42,31,30,3.21,7.29,0.52,0.59,1.1,0.9,3.81,1.72,0.39,0.66,Switch,Switch,13,6
2025-12-06,Terrance McKinney,Chris Duncan,Blue,Lightweight,MALE,3,2,3,2,3,0,0,7,6,5,2,15,16,0,0,4,1,3,2,177.8,177.8,185.42,180.34,31,32,6.53,5.02,0.55,0.46,2.1,0.7,3.31,3.27,0.4,0.42,Switch,Orthodox,12,8
2025-12-06,Nazim Sadykhov,Fares Ziam,Blue,Lightweight,MALE,3,5,5,3,5,0,0,5,7,0,2,14,25,0,0,4,1,1,0,177.8,185.42,175.26,190.5,31,28,4.79,2.87,0.49,0.52,0.2,0.5,1.1,1.73,0.45,0.4,Southpaw,Orthodox,5,9
2025-12-06,Marvin Vettori,Brunno Ferreira,Blue,Middleweight,MALE,3,0,2,5,2,3,0,9,6,7,2,59,11,1,0,0,4,2,2,182.88,177.8,187.96,182.88,32,33,4.74,3.77,0.45,0.5,0.4,0.8,1.41,1.25,0.43,0.23,Southpaw,Orthodox,16,8
2025-12-06,Edson Barboza,Jalin Turner,Blue,Lightweight,MALE,3,0,0,4,5,2,2,18,8,13,6,84,24,0,0,9,5,0,3,180.34,190.5,190.5,195.58,39,30,4.14,5.79,0.44,0.48,0.1,1.1,0.43,0.75,0.5,0.55,Orthodox,Southpaw,31,14
2025-12-06,Mansur Abdul-Malik,Antonio Trocoli,Red,Middleweight,MALE,3,3,0,3,0,0,2,3,0,0,2,8,5,0,0,3,0,0,0,187.96,195.58,203.2,203.2,28,35,3.28,1.27,0.44,0.47,0.3,0.4,1.65,0.88,0.41,0.09,Orthodox,Orthodox,3,2
2025-12-06,Muhammad Naimov,Mairon Santos,Blue,Featherweight,MALE,3,2,3,3,3,0,0,5,3,2,0,18,8,0,1,2,1,0,0,175.26,170.18,177.8,182.88,31,25,2.51,3.33,0.4,0.48,0.2,0.0,1.49,0.0,0.3,0.0,Orthodox,Orthodox,7,3
2025-11-22,Arman Tsarukyan,Dan Hooker,Red,Lightweight,MALE,5,4,3,5,4,0,0,9,14,2,8,30,51,0,0,4,7,0,2,170.18,182.88,182.88,190.5,29,35,3.85,4.82,0.5,0.48,0.1,0.6,3.26,0.68,0.37,0.33,Orthodox,Switch,11,22
